in s,C1 in V,C2 in V
-1.18488E-01,6.922617E+00,8.555820E+00
-1.18464E-01,6.756602E+00,8.380039E+00
-1.18464E-01,6.912852E+00,8.565586E+00
-1.18440E-01,6.756602E+00,8.380039E+00
-1.18440E-01,6.912852E+00,8.575352E+00
-1.18416E-01,6.746836E+00,8.380039E+00
-1.18416E-01,6.912852E+00,8.575352E+00
-1.18392E-01,6.746836E+00,8.380039E+00
-1.18392E-01,6.912852E+00,8.604648E+00
-1.18368E-01,6.756602E+00,8.419102E+00
-1.18368E-01,6.912852E+00,8.624180E+00
-1.18344E-01,6.756602E+00,8.350742E+00
-1.18344E-01,6.912852E+00,8.624180E+00
-1.18320E-01,6.737070E+00,8.350742E+00
-1.18320E-01,6.912852E+00,8.575352E+00
-1.18296E-01,6.737070E+00,8.360508E+00
-1.18296E-01,6.912852E+00,8.575352E+00
-1.18272E-01,6.737070E+00,8.360508E+00
-1.18272E-01,6.912852E+00,8.546055E+00
-1.18248E-01,6.737070E+00,8.360508E+00
-1.18248E-01,6.912852E+00,8.575352E+00
-1.18224E-01,6.737070E+00,8.350742E+00
-1.18224E-01,6.903086E+00,8.575352E+00
-1.18200E-01,6.737070E+00,8.340977E+00
-1.18200E-01,6.903086E+00,8.546055E+00
-1.18176E-01,6.717539E+00,8.262852E+00
-1.18176E-01,6.903086E+00,8.516758E+00
-1.18152E-01,6.717539E+00,8.243320E+00
-1.18152E-01,6.912852E+00,8.477695E+00
-1.18128E-01,6.727305E+00,8.243320E+00
-1.18128E-01,6.912852E+00,8.467930E+00
-1.18104E-01,6.717539E+00,8.243320E+00
-1.18104E-01,6.912852E+00,8.448398E+00
-1.18080E-01,6.717539E+00,8.204258E+00
-1.18080E-01,6.922617E+00,8.438633E+00
-1.18056E-01,6.717539E+00,8.204258E+00
-1.18056E-01,6.922617E+00,8.428867E+00
-1.18032E-01,6.727305E+00,8.204258E+00
-1.18032E-01,6.903086E+00,8.428867E+00
-1.18008E-01,6.727305E+00,8.204258E+00
-1.18008E-01,6.903086E+00,8.477695E+00
-1.17984E-01,6.707773E+00,8.282383E+00
-1.17984E-01,6.903086E+00,8.487461E+00
-1.17960E-01,6.707773E+00,8.292148E+00
-1.17960E-01,6.903086E+00,8.497227E+00
-1.17936E-01,6.707773E+00,8.253086E+00
-1.17936E-01,6.903086E+00,8.497227E+00
-1.17912E-01,6.717539E+00,8.233555E+00
-1.17912E-01,6.903086E+00,8.467930E+00
-1.17888E-01,6.717539E+00,8.233555E+00
-1.17888E-01,6.912852E+00,8.458164E+00
