in s,C1 in V
-5.5733616E-01,5.66992E+00
-5.5732692E-01,5.68945E+00
-5.5731768E-01,5.57227E+00
-5.5730844E-01,5.68945E+00
-5.5729920E-01,5.63086E+00
-5.5728996E-01,5.61133E+00
-5.5728072E-01,5.68945E+00
-5.5727148E-01,5.65039E+00
-5.5726224E-01,5.63086E+00
-5.5725300E-01,5.63086E+00
-5.5724376E-01,5.63086E+00
-5.5723452E-01,5.63086E+00
-5.5722528E-01,5.65039E+00
-5.5721604E-01,5.68945E+00
-5.5720680E-01,5.66992E+00
-5.5719756E-01,5.65039E+00
-5.5718832E-01,5.70898E+00
-5.5717908E-01,5.63086E+00
-5.5716984E-01,5.68945E+00
-5.5716060E-01,5.70898E+00
-5.5715136E-01,5.63086E+00
-5.5714212E-01,5.65039E+00
-5.5713288E-01,5.65039E+00
-5.5712364E-01,5.68945E+00
-5.5711440E-01,5.61133E+00
-5.5710516E-01,5.72852E+00
-5.5709592E-01,5.72852E+00
-5.5708668E-01,5.66992E+00
-5.5707744E-01,5.66992E+00
-5.5706820E-01,5.63086E+00
-5.5705896E-01,5.66992E+00
-5.5704972E-01,5.68945E+00
-5.5704048E-01,5.68945E+00
-5.5703124E-01,5.65039E+00
-5.5702200E-01,5.70898E+00
-5.5701276E-01,5.70898E+00
-5.5700352E-01,5.66992E+00
-5.5699428E-01,5.61133E+00
-5.5698504E-01,5.63086E+00
-5.5697580E-01,5.68945E+00
-5.5696656E-01,5.61133E+00
-5.5695732E-01,5.65039E+00
-5.5694808E-01,5.70898E+00
-5.5693884E-01,5.72852E+00
-5.5692960E-01,5.72852E+00
-5.5692036E-01,5.63086E+00
-5.5691112E-01,5.65039E+00
-5.5690188E-01,5.65039E+00
-5.5689264E-01,5.59180E+00
-5.5688340E-01,5.65039E+00
-5.5687416E-01,5.63086E+00
-5.5686492E-01,5.61133E+00
-5.5685568E-01,5.68945E+00
-5.5684644E-01,5.63086E+00
-5.5683720E-01,5.65039E+00
-5.5682796E-01,5.68945E+00
-5.5681872E-01,5.68945E+00
-5.5680948E-01,5.65039E+00
-5.5680024E-01,5.65039E+00
-5.5679100E-01,5.70898E+00
-5.5678176E-01,5.66992E+00
-5.5677252E-01,5.63086E+00
-5.5676328E-01,5.65039E+00
-5.5675404E-01,5.70898E+00
-5.5674480E-01,5.68945E+00
-5.5673556E-01,5.65039E+00
-5.5672632E-01,5.66992E+00
-5.5671708E-01,5.68945E+00
-5.5670784E-01,5.66992E+00
-5.5669860E-01,5.66992E+00
-5.5668936E-01,5.68945E+00
-5.5668012E-01,5.76758E+00
-5.5667088E-01,5.68945E+00
-5.5666164E-01,5.66992E+00
-5.5665240E-01,5.65039E+00
-5.5664316E-01,5.66992E+00
-5.5663392E-01,5.70898E+00
-5.5662468E-01,5.61133E+00
-5.5661544E-01,5.66992E+00
-5.5660620E-01,5.68945E+00
-5.5659696E-01,5.63086E+00
-5.5658772E-01,5.65039E+00
-5.5657848E-01,5.65039E+00
-5.5656924E-01,5.61133E+00
-5.5656000E-01,5.63086E+00
-5.5655076E-01,5.63086E+00
-5.5654152E-01,5.70898E+00
-5.5653228E-01,5.68945E+00
-5.5652304E-01,5.68945E+00
-5.5651380E-01,5.68945E+00
-5.5650456E-01,5.72852E+00
-5.5649532E-01,5.70898E+00
